,SEVERITYCODE,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE.1,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR
1000,2,-122.351724,47.56030603,1142,69200,69200,2609209,Matched,Block,,WEST MARGINAL WAY SW BETWEEN SW ALASKA ST AND SW EDMUNDS ST,,,2,Injury Collision,Other,1,0,0,1,2007/11/21 00:00:00+00,11/21/2007 9:58:00 PM,Mid-Block (not related to intersection),28,MOTOR VEHICLE RAN OFF ROAD - HIT FIXED OBJECT,,0,Clear,Dry,Dark - Street Lights On,,7325037.0,,50,Fixed object,0,0,N
1001,1,-122.31273300000001,47.6190908,1143,25600,25600,1217332,Matched,Block,,15TH AVE E BETWEEN E DENNY WAY AND E JOHN SR ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2004/08/13 00:00:00+00,8/13/2004 8:00:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Unknown,Unknown,Daylight,,4226003.0,,32,One parked--one moving,0,0,N
1002,1,-122.3114702,47.61350755,1144,54400,54400,C668722,Matched,Block,,16TH AVE BETWEEN E UNION ST AND E PIKE ST,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2006/05/14 00:00:00+00,5/14/2006 10:30:00 AM,Mid-Block (not related to intersection),12,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, RIGHT SIDE AT ANGLE",,0,Clear,Dry,Daylight,,6134031.0,,32,One parked--one moving,0,0,N
1003,1,-122.3450853,47.73306346,1145,1318,1318,3501984,Matched,Block,,AURORA AVE N BETWEEN N 143RD ST AND ROOSEVELT WAY N, ,,1,Property Damage Only Collision,Rear Ended,5,0,0,3,2013/03/28 00:00:00+00,3/28/2013 4:30:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Clear,Dry,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1004,1,-122.3024334,47.60215623,1147,42500,42500,C651032,Matched,Block,,23RD AVE BETWEEN E YESLER WAY AND E FIR ST,,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2005/06/13 00:00:00+00,6/13/2005 7:10:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Unknown,Unknown,Unknown,,5164050.0,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
1005,2,-122.3289545,47.60133187,1148,31100,31100,1777033,Matched,Block,,4TH AVE S BETWEEN 4TH AVE AND S WASHINGTON ST,,,2,Injury Collision,Sideswipe,3,0,0,2,2004/02/23 00:00:00+00,2/23/2004 2:04:00 PM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Clear,Dry,Daylight,,4054023.0,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
1006,1,-122.31138929999999,47.57250921,1149,1255,1255,3617283,Matched,Block,,17TH AVE S BETWEEN S HINDS ST AND S SPOKANE ST, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/30 00:00:00+00,3/30/2013 7:00:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,N,Unknown,Dry,Unknown,,,,32,One parked--one moving,0,0,N
1007,1,-122.3334303,47.60833603,1150,40000,40000,1933078,Matched,Block,,5TH AVE BETWEEN SENECA ST AND UNIVERSITY ST,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2005/06/07 00:00:00+00,6/7/2005,Mid-Block (but intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",Y,0,Raining,Wet,Daylight,,5158022.0,,71,Same direction -- both turning right -- both moving -- sideswipe,0,0,N
1008,1,-122.3200751,47.60269211,1151,1287,1287,2620705,Matched,Block,,E FIR ST BETWEEN BROADWAY AND 10TH AVE, ,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2013/03/26 00:00:00+00,3/26/2013 9:00:00 AM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,32,One parked--one moving,0,0,N
1009,1,-122.30651189999999,47.66396513,1152,320845,322345,E919481,Matched,Block,,20TH AVE NE BETWEEN NE 47TH ST AND NE 50TH ST, ,,1,Property Damage Only Collision,Rear Ended,2,0,0,2,2019/04/22 00:00:00+00,4/22/2019 3:09:00 PM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",Y,N,Raining,Wet,Daylight,,,,14,From same direction - both going straight - one stopped - rear-end,0,0,N
